[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000924s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000947s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000831s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001162s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003990s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) View.class.php 第 120 行.
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) View.class.php 第 121 行.
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) View.class.php 第 122 行.
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001824s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001919s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001314s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001382s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001088s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001123s ]
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login/verify | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-22T10:49:15+08:00 ] /web/tuiguang/index.php/Login/verify | NOTIC: [8] ob_end_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete. LoginAction.class.php 第 47 行.
