[ 2016-11-23T15:21:09+08:00 ] /index.php/User | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001515s ]
[ 2016-11-23T15:21:09+08:00 ] /index.php/User | INFO: Run ShowRuntime Behavior [ RunTime:0.001962s ]
[ 2016-11-23T15:21:09+08:00 ] /index.php/User | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007384s ]
[ 2016-11-23T15:21:09+08:00 ] /index.php/User | INFO: Tag[ view_end ] --START--
[ 2016-11-23T15:21:09+08:00 ] /index.php/User | INFO: Run ShowPageTrace Behavior [ RunTime:0.001982s ]
[ 2016-11-23T15:21:09+08:00 ] /index.php/User | INFO: Tag[ view_end ] --END-- [ RunTime:0.002090s ]
[ 2016-11-23T15:34:18+08:00 ] oauth.vk.com:443 | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T15:34:18+08:00 ] oauth.vk.com:443 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001658s ]
[ 2016-11-23T15:34:18+08:00 ] oauth.vk.com:443 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001823s ]
[ 2016-11-23T15:34:22+08:00 ] http://www.123cha.com | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T15:34:22+08:00 ] http://www.123cha.com | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001679s ]
[ 2016-11-23T15:34:22+08:00 ] http://www.123cha.com | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001857s ]
[ 2016-11-23T15:34:28+08:00 ] http://www.boxun.com | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T15:34:28+08:00 ] http://www.boxun.com | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001673s ]
[ 2016-11-23T15:34:28+08:00 ] http://www.boxun.com | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001844s ]
[ 2016-11-23T18:46:13+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T18:46:13+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001679s ]
[ 2016-11-23T18:46:13+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001800s ]
[ 2016-11-23T20:32:38+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T20:32:38+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002314s ]
[ 2016-11-23T20:32:38+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002476s ]
[ 2016-11-23T21:33:34+08:00 ] http://httpheader.net/ | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T21:33:34+08:00 ] http://httpheader.net/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001693s ]
[ 2016-11-23T21:33:34+08:00 ] http://httpheader.net/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001867s ]
[ 2016-11-23T23:26:29+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T23:26:29+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002154s ]
[ 2016-11-23T23:26:29+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002278s ]
[ 2016-11-23T23:32:10+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T23:32:10+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001652s ]
